"aar","fylke_nr","tilskudd_til_kommuner","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2011","NULL","barnehage_tilsk","kroner","0","tilskudd","0127","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0127","NULL"
"2011","NULL","skole_tilsk","kroner","93600","tilskudd","0127","NULL"
"2011","NULL","totalt","kroner","5463364","tilskudd","0128","NULL"
"2011","NULL","inttilsk_1_5","kroner","4766500","tilskudd","0128","NULL"
"2011","NULL","inttilsk_1","kroner","0","tilskudd","0128","NULL"
"2011","NULL","inttilsk_2_5","kroner","4766500","tilskudd","0128","NULL"
"2011","NULL","funkhem","kroner","-34356","tilskudd","0128","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0128","NULL"
"2011","NULL","em_tilsk","kroner","615720","tilskudd","0128","NULL"
"2011","NULL","barnehage_tilsk","kroner","0","tilskudd","0128","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0128","NULL"
"2011","NULL","skole_tilsk","kroner","115500","tilskudd","0128","NULL"
"2011","NULL","totalt","kroner","5813314","tilskudd","0135","NULL"
"2011","NULL","inttilsk_1_5","kroner","4395000","tilskudd","0135","NULL"
"2011","NULL","inttilsk_1","kroner","480000","tilskudd","0135","NULL"
"2011","NULL","inttilsk_2_5","kroner","3915000","tilskudd","0135","NULL"
"2011","NULL","funkhem","kroner","1200970","tilskudd","0135","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0135","NULL"
"2011","NULL","em_tilsk","kroner","123144","tilskudd","0135","NULL"
"2011","NULL","barnehage_tilsk","kroner","20700","tilskudd","0135","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0135","NULL"
"2011","NULL","skole_tilsk","kroner","73500","tilskudd","0135","NULL"
"2011","NULL","totalt","kroner","3571752","tilskudd","0136","NULL"
"2011","NULL","inttilsk_1_5","kroner","2073500","tilskudd","0136","NULL"
"2011","NULL","inttilsk_1","kroner","600000","tilskudd","0136","NULL"
"2011","NULL","inttilsk_2_5","kroner","1473500","tilskudd","0136","NULL"
"2011","NULL","funkhem","kroner","0","tilskudd","0136","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0136","NULL"
"2011","NULL","em_tilsk","kroner","1498252","tilskudd","0136","NULL"
