kommune_nr;bosatt_2015_personer;anmodning_2015_personer;vedtak_2015_personer;anmodning_2016_personer;vedtak_2016_personer;bosatt_2016_personer;anmodning_2017_personer;vedtak_2017_personer;bosatt_2017_personer;bosatt_2015_prosent;anmodning_2015_prosent;vedtak_2015_prosent;anmodning_2016_prosent;vedtak_2016_prosent;bosatt_2016_prosent;anmodning_2017_prosent;vedtak_2017_prosent;bosatt_2017_prosent
1664;;10;14;20;14;;22;.;;;100;140;100;70;;100;.;
1665;;10;10;15;10;;15;.;;;100;100;100;66,66666667;;100;.;
1702;;45;50;75;50;;90;.;;;100;111,1111111;100;66,66666667;;100;.;
1703;;40;53;53;53;;65;.;;;100;132,5;100;100;;100;.;
1711;;15;17;20;10;;20;14;;;100;113,3333333;100;50;;100;70;
1714;;45;60;80;55;;95;.;;;100;133,3333333;100;68,75;;100;.;
1717;;10;10;14;15;;15;.;;;100;100;100;107,1428571;;100;.;
1718;;10;17;17;10;;18;.;;;100;170;100;58,82352941;;100;.;
1719;;45;60;71;71;;85;.;;;100;133,3333333;100;100;;100;.;
1721;;35;35;56;31;;60;.;;;100;100;100;55,35714286;;100;.;
1724;;10;17;17;17;;18;.;;;100;170;100;100;;100;.;
1725;;10;.;14;14;;14;12;;;100;.;100;100;;100;85,71428571;
1736;;10;12;17;13;;18;14;;;100;120;100;76,47058824;;100;77,77777778;
1738;;10;.;14;10;;14;.;;;100;.;100;71,42857143;;100;.;
1739;;10;0;10;10;;10;.;;;100;0;100;100;;100;.;
1740;;10;13;14;14;;15;.;;;100;130;100;100;;100;.;
