"tabell_navn","aar","kommune_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","0403","alle","person","2974"
"befolkning_verdensregion_9","2015","0412","norden","person","266"
"befolkning_verdensregion_9","2015","0412","vest_europa","person","252"
"befolkning_verdensregion_9","2015","0412","eu_ost_europa","person","1031"
"befolkning_verdensregion_9","2015","0412","ost_europa_ellers","person","179"
"befolkning_verdensregion_9","2015","0412","nord_amerika_oseania","person","34"
"befolkning_verdensregion_9","2015","0412","asia","person","518"
"befolkning_verdensregion_9","2015","0412","afrika","person","199"
"befolkning_verdensregion_9","2015","0412","sor_og_mellom_amerika","person","20"
"befolkning_verdensregion_9","2015","0412","alle","person","2499"
"befolkning_verdensregion_9","2015","0415","norden","person","47"
"befolkning_verdensregion_9","2015","0415","vest_europa","person","51"
"befolkning_verdensregion_9","2015","0415","eu_ost_europa","person","185"
"befolkning_verdensregion_9","2015","0415","ost_europa_ellers","person","34"
"befolkning_verdensregion_9","2015","0415","nord_amerika_oseania","person","6"
"befolkning_verdensregion_9","2015","0415","asia","person","138"
"befolkning_verdensregion_9","2015","0415","afrika","person","64"
"befolkning_verdensregion_9","2015","0415","sor_og_mellom_amerika","person","9"
"befolkning_verdensregion_9","2015","0415","alle","person","534"
"befolkning_verdensregion_9","2015","0417","norden","person","173"
"befolkning_verdensregion_9","2015","0417","vest_europa","person","215"
"befolkning_verdensregion_9","2015","0417","eu_ost_europa","person","397"
"befolkning_verdensregion_9","2015","0417","ost_europa_ellers","person","151"
"befolkning_verdensregion_9","2015","0417","nord_amerika_oseania","person","33"
"befolkning_verdensregion_9","2015","0417","asia","person","339"
"befolkning_verdensregion_9","2015","0417","afrika","person","290"
"befolkning_verdensregion_9","2015","0417","sor_og_mellom_amerika","person","25"
"befolkning_verdensregion_9","2015","0417","alle","person","1623"
"befolkning_verdensregion_9","2015","0418","norden","person","36"
"befolkning_verdensregion_9","2015","0418","vest_europa","person","27"
"befolkning_verdensregion_9","2015","0418","eu_ost_europa","person","60"
"befolkning_verdensregion_9","2015","0418","ost_europa_ellers","person","3"
"befolkning_verdensregion_9","2015","0418","nord_amerika_oseania","person","3"
"befolkning_verdensregion_9","2015","0418","asia","person","50"
"befolkning_verdensregion_9","2015","0418","afrika","person","8"
"befolkning_verdensregion_9","2015","0418","sor_og_mellom_amerika","person","11"
"befolkning_verdensregion_9","2015","0418","alle","person","198"
"befolkning_verdensregion_9","2015","0419","norden","person","87"
"befolkning_verdensregion_9","2015","0419","vest_europa","person","44"
"befolkning_verdensregion_9","2015","0419","eu_ost_europa","person","143"
"befolkning_verdensregion_9","2015","0419","ost_europa_ellers","person","20"
"befolkning_verdensregion_9","2015","0419","nord_amerika_oseania","person","7"
"befolkning_verdensregion_9","2015","0419","asia","person","85"
