"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"34","vedtak","prosent","2015","118.888888888889","bosatt_anmodede"
"35","vedtak","prosent","2015","94.5679012345679","bosatt_anmodede"
"36","vedtak","prosent","2015","106.666666666667","bosatt_anmodede"
"37","vedtak","prosent","2015","101.980198019802","bosatt_anmodede"
"38","vedtak","prosent","2015","95.3488372093023","bosatt_anmodede"
"39","vedtak","prosent","2015","102.919708029197","bosatt_anmodede"
"40","vedtak","prosent","2015","100","bosatt_anmodede"
"41","vedtak","prosent","2015","62.5","bosatt_anmodede"
"42","vedtak","prosent","2015","65","bosatt_anmodede"
"43","vedtak","prosent","2015","160","bosatt_anmodede"
"44","vedtak","prosent","2015","109.876543209877","bosatt_anmodede"
"45","vedtak","prosent","2015","83.3333333333333","bosatt_anmodede"
"46","vedtak","prosent","2015","97.2413793103448","bosatt_anmodede"
"47","vedtak","prosent","2015","107.826086956522","bosatt_anmodede"
"48","vedtak","prosent","2015","152.173913043478","bosatt_anmodede"
"49","vedtak","prosent","2015","108.490566037736","bosatt_anmodede"
"50","vedtak","prosent","2015","124.347826086957","bosatt_anmodede"
"51","vedtak","prosent","2015","146","bosatt_anmodede"
"52","vedtak","prosent","2015","113.368983957219","bosatt_anmodede"
"53","vedtak","prosent","2015","105.806451612903","bosatt_anmodede"
"54","vedtak","prosent","2015","29.8507462686567","bosatt_anmodede"
"55","vedtak","prosent","2015","94","bosatt_anmodede"
"56","vedtak","prosent","2015","82.7777777777778","bosatt_anmodede"
"57","vedtak","prosent","2015","78.8888888888889","bosatt_anmodede"
"58","vedtak","prosent","2015","66.6666666666667","bosatt_anmodede"
"59","vedtak","prosent","2015","163.333333333333","bosatt_anmodede"
"60","vedtak","prosent","2015","90","bosatt_anmodede"
"61","vedtak","prosent","2015","142.823529411765","bosatt_anmodede"
"62","vedtak","prosent","2015","111.428571428571","bosatt_anmodede"
"63","vedtak","prosent","2015","124.285714285714","bosatt_anmodede"
"64","vedtak","prosent","2015","125.161290322581","bosatt_anmodede"
"65","vedtak","prosent","2015","78.3333333333333","bosatt_anmodede"
"66","vedtak","prosent","2015","93.3333333333333","bosatt_anmodede"
"67","vedtak","prosent","2015","87.5","bosatt_anmodede"
"68","vedtak","prosent","2015","52.5","bosatt_anmodede"
"69","vedtak","prosent","2015","133.333333333333","bosatt_anmodede"
"70","vedtak","prosent","2015","0","bosatt_anmodede"
"71","vedtak","prosent","2015","96.6666666666667","bosatt_anmodede"
"72","vedtak","prosent","2015","100","bosatt_anmodede"
"73","vedtak","prosent","2015","116.363636363636","bosatt_anmodede"
"74","vedtak","prosent","2015","71.4285714285714","bosatt_anmodede"
"75","vedtak","prosent","2015","79.2307692307692","bosatt_anmodede"
"76","vedtak","prosent","2015","116.296296296296","bosatt_anmodede"
"77","vedtak","prosent","2015","104.848484848485","bosatt_anmodede"
"78","vedtak","prosent","2015","93.3333333333333","bosatt_anmodede"
