"tabell_navn","aar","kommune_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","0826","1","personer","0_4","90"
"befolkning_botid","2015","0826","2","personer","0_4","152"
"befolkning_botid","2015","0826","alle","personer","0_4","242"
"befolkning_botid","2015","0827","1","personer","0_4","42"
"befolkning_botid","2015","0827","2","personer","0_4","19"
"befolkning_botid","2015","0827","alle","personer","0_4","61"
"befolkning_botid","2015","0828","1","personer","0_4","73"
"befolkning_botid","2015","0828","2","personer","0_4","44"
"befolkning_botid","2015","0828","alle","personer","0_4","117"
"befolkning_botid","2015","0829","1","personer","0_4","46"
"befolkning_botid","2015","0829","2","personer","0_4","8"
"befolkning_botid","2015","0829","alle","personer","0_4","54"
"befolkning_botid","2015","0830","1","personer","0_4","42"
"befolkning_botid","2015","0830","2","personer","0_4","4"
"befolkning_botid","2015","0830","alle","personer","0_4","46"
"befolkning_botid","2015","0831","1","personer","0_4","18"
"befolkning_botid","2015","0831","2","personer","0_4","28"
"befolkning_botid","2015","0831","alle","personer","0_4","46"
"befolkning_botid","2015","0833","1","personer","0_4","24"
"befolkning_botid","2015","0833","2","personer","0_4","6"
"befolkning_botid","2015","0833","alle","personer","0_4","30"
"befolkning_botid","2015","0834","1","personer","0_4","101"
"befolkning_botid","2015","0834","2","personer","0_4","38"
"befolkning_botid","2015","0834","alle","personer","0_4","139"
"befolkning_botid","2015","0901","1","personer","0_4","103"
"befolkning_botid","2015","0901","2","personer","0_4","175"
"befolkning_botid","2015","0901","alle","personer","0_4","278"
"befolkning_botid","2015","0904","1","personer","0_4","534"
"befolkning_botid","2015","0904","2","personer","0_4","463"
"befolkning_botid","2015","0904","alle","personer","0_4","997"
"befolkning_botid","2015","0906","1","personer","0_4","1060"
"befolkning_botid","2015","0906","2","personer","0_4","725"
"befolkning_botid","2015","0906","alle","personer","0_4","1785"
"befolkning_botid","2015","0911","1","personer","0_4","31"
"befolkning_botid","2015","0911","2","personer","0_4","64"
"befolkning_botid","2015","0911","alle","personer","0_4","95"
"befolkning_botid","2015","0912","1","personer","0_4","30"
"befolkning_botid","2015","0912","2","personer","0_4","32"
"befolkning_botid","2015","0912","alle","personer","0_4","62"
"befolkning_botid","2015","0914","1","personer","0_4","111"
"befolkning_botid","2015","0914","2","personer","0_4","65"
"befolkning_botid","2015","0914","alle","personer","0_4","176"
"befolkning_botid","2015","0919","1","personer","0_4","80"
"befolkning_botid","2015","0919","2","personer","0_4","42"
"befolkning_botid","2015","0919","alle","personer","0_4","122"
"befolkning_botid","2015","0926","1","personer","0_4","161"
"befolkning_botid","2015","0926","2","personer","0_4","178"
"befolkning_botid","2015","0926","alle","personer","0_4","339"
"befolkning_botid","2015","0928","1","personer","0_4","54"
"befolkning_botid","2015","0928","2","personer","0_4","93"
"befolkning_botid","2015","0928","alle","personer","0_4","147"
"befolkning_botid","2015","0929","1","personer","0_4","54"
"befolkning_botid","2015","0929","2","personer","0_4","29"
"befolkning_botid","2015","0929","alle","personer","0_4","83"
"befolkning_botid","2015","0935","1","personer","0_4","8"
"befolkning_botid","2015","0935","2","personer","0_4","27"
"befolkning_botid","2015","0935","alle","personer","0_4","35"
"befolkning_botid","2015","0937","1","personer","0_4","53"
"befolkning_botid","2015","0937","2","personer","0_4","58"
"befolkning_botid","2015","0937","alle","personer","0_4","111"
"befolkning_botid","2015","0938","1","personer","0_4","11"
"befolkning_botid","2015","0938","2","personer","0_4","9"
"befolkning_botid","2015","0938","alle","personer","0_4","20"
"befolkning_botid","2015","0940","1","personer","0_4","9"
"befolkning_botid","2015","0940","2","personer","0_4","36"
"befolkning_botid","2015","0940","alle","personer","0_4","45"
"befolkning_botid","2015","0941","1","personer","0_4","34"
"befolkning_botid","2015","0941","2","personer","0_4","29"
"befolkning_botid","2015","0941","alle","personer","0_4","63"
"befolkning_botid","2015","1001","1","personer","0_4","1830"
"befolkning_botid","2015","1001","2","personer","0_4","1855"
"befolkning_botid","2015","1001","alle","personer","0_4","3685"
"befolkning_botid","2015","1002","1","personer","0_4","235"
"befolkning_botid","2015","1002","2","personer","0_4","368"
"befolkning_botid","2015","1002","alle","personer","0_4","603"
"befolkning_botid","2015","1003","1","personer","0_4","144"
"befolkning_botid","2015","1003","2","personer","0_4","184"
"befolkning_botid","2015","1003","alle","personer","0_4","328"
"befolkning_botid","2015","1004","1","personer","0_4","130"
"befolkning_botid","2015","1004","2","personer","0_4","178"
"befolkning_botid","2015","1004","alle","personer","0_4","308"
"befolkning_botid","2015","1014","1","personer","0_4","214"
"befolkning_botid","2015","1014","2","personer","0_4","182"
"befolkning_botid","2015","1014","alle","personer","0_4","396"
"befolkning_botid","2015","1017","1","personer","0_4","101"
"befolkning_botid","2015","1017","2","personer","0_4","144"
"befolkning_botid","2015","1017","alle","personer","0_4","245"
"befolkning_botid","2015","1018","1","personer","0_4","191"
"befolkning_botid","2015","1018","2","personer","0_4","172"
"befolkning_botid","2015","1018","alle","personer","0_4","363"
"befolkning_botid","2015","1021","1","personer","0_4","39"
"befolkning_botid","2015","1021","2","personer","0_4","25"
"befolkning_botid","2015","1021","alle","personer","0_4","64"
"befolkning_botid","2015","1026","1","personer","0_4","23"
"befolkning_botid","2015","1026","2","personer","0_4","6"
"befolkning_botid","2015","1026","alle","personer","0_4","29"
"befolkning_botid","2015","1027","1","personer","0_4","33"
"befolkning_botid","2015","1027","2","personer","0_4","18"
"befolkning_botid","2015","1027","alle","personer","0_4","51"
