"naringsregion_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"52","bosatt","2016","personer",".","bosatt_anmodede"
"53","bosatt","2016","personer",".","bosatt_anmodede"
"54","bosatt","2016","personer",".","bosatt_anmodede"
"55","bosatt","2016","personer",".","bosatt_anmodede"
"56","bosatt","2016","personer",".","bosatt_anmodede"
"57","bosatt","2016","personer",".","bosatt_anmodede"
"58","bosatt","2016","personer",".","bosatt_anmodede"
"59","bosatt","2016","personer",".","bosatt_anmodede"
"60","bosatt","2016","personer",".","bosatt_anmodede"
"61","bosatt","2016","personer",".","bosatt_anmodede"
"62","bosatt","2016","personer",".","bosatt_anmodede"
"63","bosatt","2016","personer",".","bosatt_anmodede"
"64","bosatt","2016","personer",".","bosatt_anmodede"
"65","bosatt","2016","personer",".","bosatt_anmodede"
"66","bosatt","2016","personer",".","bosatt_anmodede"
"67","bosatt","2016","personer",".","bosatt_anmodede"
"68","bosatt","2016","personer",".","bosatt_anmodede"
"69","bosatt","2016","personer",".","bosatt_anmodede"
"70","bosatt","2016","personer",".","bosatt_anmodede"
"71","bosatt","2016","personer",".","bosatt_anmodede"
"72","bosatt","2016","personer",".","bosatt_anmodede"
"73","bosatt","2016","personer",".","bosatt_anmodede"
"74","bosatt","2016","personer",".","bosatt_anmodede"
"75","bosatt","2016","personer",".","bosatt_anmodede"
"76","bosatt","2016","personer",".","bosatt_anmodede"
"77","bosatt","2016","personer",".","bosatt_anmodede"
"78","bosatt","2016","personer",".","bosatt_anmodede"
"79","bosatt","2016","personer",".","bosatt_anmodede"
"80","bosatt","2016","personer",".","bosatt_anmodede"
"81","bosatt","2016","personer",".","bosatt_anmodede"
"82","bosatt","2016","personer",".","bosatt_anmodede"
"83","bosatt","2016","personer",".","bosatt_anmodede"
"99","bosatt","2016","personer",".","bosatt_anmodede"
"01","anmodning","2017","personer","80","bosatt_anmodede"
"02","anmodning","2017","personer","265","bosatt_anmodede"
"03","anmodning","2017","personer","170","bosatt_anmodede"
"04","anmodning","2017","personer","385","bosatt_anmodede"
"05","anmodning","2017","personer","490","bosatt_anmodede"
