"kommune_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"1928","alle","1_5","personer","30","2013","barnehagedeltakelse"
"1929","alle","1_5","personer","43","2013","barnehagedeltakelse"
"1931","alle","1_5","personer","727","2013","barnehagedeltakelse"
"1933","alle","1_5","personer","247","2013","barnehagedeltakelse"
"1936","alle","1_5","personer","89","2013","barnehagedeltakelse"
"1938","alle","1_5","personer","127","2013","barnehagedeltakelse"
"1939","alle","1_5","personer","90","2013","barnehagedeltakelse"
"1940","alle","1_5","personer","90","2013","barnehagedeltakelse"
"1941","alle","1_5","personer","133","2013","barnehagedeltakelse"
"1942","alle","1_5","personer","284","2013","barnehagedeltakelse"
"1943","alle","1_5","personer","48","2013","barnehagedeltakelse"
"2002","alle","1_5","personer","86","2013","barnehagedeltakelse"
"2003","alle","1_5","personer","308","2013","barnehagedeltakelse"
"2004","alle","1_5","personer","665","2013","barnehagedeltakelse"
"2011","alle","1_5","personer","176","2013","barnehagedeltakelse"
"2012","alle","1_5","personer","1366","2013","barnehagedeltakelse"
"2014","alle","1_5","personer","24","2013","barnehagedeltakelse"
"2015","alle","1_5","personer","66","2013","barnehagedeltakelse"
"2017","alle","1_5","personer","44","2013","barnehagedeltakelse"
"2018","alle","1_5","personer","49","2013","barnehagedeltakelse"
"2019","alle","1_5","personer","156","2013","barnehagedeltakelse"
"2020","alle","1_5","personer","167","2013","barnehagedeltakelse"
"2021","alle","1_5","personer","127","2013","barnehagedeltakelse"
"2022","alle","1_5","personer","61","2013","barnehagedeltakelse"
"2023","alle","1_5","personer","49","2013","barnehagedeltakelse"
"2024","alle","1_5","personer","37","2013","barnehagedeltakelse"
"2025","alle","1_5","personer","134","2013","barnehagedeltakelse"
"2027","alle","1_5","personer","64","2013","barnehagedeltakelse"
"2028","alle","1_5","personer","109","2013","barnehagedeltakelse"
"2030","alle","1_5","personer","555","2013","barnehagedeltakelse"
"0101","alle","1","personer","319","2013","barnehagedeltakelse"
"0104","alle","1","personer","310","2013","barnehagedeltakelse"
"0105","alle","1","personer","597","2013","barnehagedeltakelse"
"0106","alle","1","personer","806","2013","barnehagedeltakelse"
"0111","alle","1","personer","31","2013","barnehagedeltakelse"
"0118","alle","1","personer","7","2013","barnehagedeltakelse"
"0119","alle","1","personer","36","2013","barnehagedeltakelse"
"0121","alle","1","personer","7","2013","barnehagedeltakelse"
"0122","alle","1","personer","68","2013","barnehagedeltakelse"
"0123","alle","1","personer","60","2013","barnehagedeltakelse"
"0124","alle","1","personer","174","2013","barnehagedeltakelse"
"0125","alle","1","personer","118","2013","barnehagedeltakelse"
"0127","alle","1","personer","38","2013","barnehagedeltakelse"
