"bydel_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"030117","treaar","0","annet","2013","prosent","0","intro_status_arbutd"
"030199","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"0301","treaar","alle","alle","2012","personer","228","intro_status_arbutd"
"030101","treaar","alle","alle","2012","personer","21","intro_status_arbutd"
"030102","treaar","alle","alle","2012","personer","17","intro_status_arbutd"
"030103","treaar","alle","alle","2012","personer","10","intro_status_arbutd"
"030104","treaar","alle","alle","2012","personer",":","intro_status_arbutd"
"030105","treaar","alle","alle","2012","personer","14","intro_status_arbutd"
"030106","treaar","alle","alle","2012","personer","14","intro_status_arbutd"
"030107","treaar","alle","alle","2012","personer","11","intro_status_arbutd"
"030108","treaar","alle","alle","2012","personer","12","intro_status_arbutd"
"030109","treaar","alle","alle","2012","personer","14","intro_status_arbutd"
"030110","treaar","alle","alle","2012","personer","19","intro_status_arbutd"
"030111","treaar","alle","alle","2012","personer","17","intro_status_arbutd"
"030112","treaar","alle","alle","2012","personer","32","intro_status_arbutd"
"030113","treaar","alle","alle","2012","personer","8","intro_status_arbutd"
"030114","treaar","alle","alle","2012","personer","8","intro_status_arbutd"
"030115","treaar","alle","alle","2012","personer","12","intro_status_arbutd"
"030116","treaar","alle","alle","2012","personer",":","intro_status_arbutd"
"030117","treaar","alle","alle","2012","personer","0","intro_status_arbutd"
"030199","treaar","alle","alle","2012","personer","10","intro_status_arbutd"
"0301","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030101","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030102","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030103","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030104","treaar","alle","alle","2012","prosent",":","intro_status_arbutd"
"030105","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030106","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030107","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030108","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030109","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030110","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030111","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
"030112","treaar","alle","alle","2012","prosent","100","intro_status_arbutd"
