"tabell_navn","aar","naringsregion_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2006","39","alle","1","personer","0_5","11393"
"befolkning_alder","2006","39","alle","alle","personer","0_5","22623"
"befolkning_alder","2006","39","befolkningen_ellers","0","personer","0_5","11056"
"befolkning_alder","2006","39","befolkningen_ellers","1","personer","0_5","11218"
"befolkning_alder","2006","39","befolkningen_ellers","alle","personer","0_5","22274"
"befolkning_alder","2006","39","innvandrere","0","personer","0_5","174"
"befolkning_alder","2006","39","innvandrere","1","personer","0_5","175"
"befolkning_alder","2006","39","innvandrere","alle","personer","0_5","349"
"befolkning_alder","2006","40","alle","0","personer","0_5","9151"
"befolkning_alder","2006","40","alle","1","personer","0_5","9499"
"befolkning_alder","2006","40","alle","alle","personer","0_5","18650"
"befolkning_alder","2006","40","befolkningen_ellers","0","personer","0_5","9011"
"befolkning_alder","2006","40","befolkningen_ellers","1","personer","0_5","9392"
"befolkning_alder","2006","40","befolkningen_ellers","alle","personer","0_5","18403"
"befolkning_alder","2006","40","innvandrere","0","personer","0_5","140"
"befolkning_alder","2006","40","innvandrere","1","personer","0_5","107"
"befolkning_alder","2006","40","innvandrere","alle","personer","0_5","247"
"befolkning_alder","2006","41","alle","0","personer","0_5","845"
"befolkning_alder","2006","41","alle","1","personer","0_5","919"
"befolkning_alder","2006","41","alle","alle","personer","0_5","1764"
"befolkning_alder","2006","41","befolkningen_ellers","0","personer","0_5","840"
"befolkning_alder","2006","41","befolkningen_ellers","1","personer","0_5","910"
"befolkning_alder","2006","41","befolkningen_ellers","alle","personer","0_5","1750"
"befolkning_alder","2006","41","innvandrere","0","personer","0_5","5"
"befolkning_alder","2006","41","innvandrere","1","personer","0_5","9"
"befolkning_alder","2006","41","innvandrere","alle","personer","0_5","14"
"befolkning_alder","2006","42","alle","0","personer","0_5","700"
"befolkning_alder","2006","42","alle","1","personer","0_5","775"
"befolkning_alder","2006","42","alle","alle","personer","0_5","1475"
"befolkning_alder","2006","42","befolkningen_ellers","0","personer","0_5","683"
"befolkning_alder","2006","42","befolkningen_ellers","1","personer","0_5","760"
"befolkning_alder","2006","42","befolkningen_ellers","alle","personer","0_5","1443"
"befolkning_alder","2006","42","innvandrere","0","personer","0_5","17"
"befolkning_alder","2006","42","innvandrere","1","personer","0_5","15"
"befolkning_alder","2006","42","innvandrere","alle","personer","0_5","32"
"befolkning_alder","2006","43","alle","0","personer","0_5","499"
"befolkning_alder","2006","43","alle","1","personer","0_5","496"
"befolkning_alder","2006","43","alle","alle","personer","0_5","995"
"befolkning_alder","2006","43","befolkningen_ellers","0","personer","0_5","493"
"befolkning_alder","2006","43","befolkningen_ellers","1","personer","0_5","490"
"befolkning_alder","2006","43","befolkningen_ellers","alle","personer","0_5","983"
"befolkning_alder","2006","43","innvandrere","0","personer","0_5","6"
"befolkning_alder","2006","43","innvandrere","1","personer","0_5","6"
"befolkning_alder","2006","43","innvandrere","alle","personer","0_5","12"
"befolkning_alder","2006","44","alle","0","personer","0_5","1156"
"befolkning_alder","2006","44","alle","1","personer","0_5","1140"
"befolkning_alder","2006","44","alle","alle","personer","0_5","2296"
"befolkning_alder","2006","44","befolkningen_ellers","0","personer","0_5","1151"
"befolkning_alder","2006","44","befolkningen_ellers","1","personer","0_5","1134"
"befolkning_alder","2006","44","befolkningen_ellers","alle","personer","0_5","2285"
"befolkning_alder","2006","44","innvandrere","0","personer","0_5","5"
"befolkning_alder","2006","44","innvandrere","1","personer","0_5","6"
"befolkning_alder","2006","44","innvandrere","alle","personer","0_5","11"
"befolkning_alder","2006","45","alle","0","personer","0_5","426"
"befolkning_alder","2006","45","alle","1","personer","0_5","432"
"befolkning_alder","2006","45","alle","alle","personer","0_5","858"
"befolkning_alder","2006","45","befolkningen_ellers","0","personer","0_5","426"
"befolkning_alder","2006","45","befolkningen_ellers","1","personer","0_5","428"
"befolkning_alder","2006","45","befolkningen_ellers","alle","personer","0_5","853"
"befolkning_alder","2006","45","innvandrere","0","personer","0_5","0"
"befolkning_alder","2006","45","innvandrere","1","personer","0_5","4"
"befolkning_alder","2006","45","innvandrere","alle","personer","0_5","5"
"befolkning_alder","2006","46","alle","0","personer","0_5","2359"
"befolkning_alder","2006","46","alle","1","personer","0_5","2386"
