"naringsregion_nr","tilskudd_til_kommuner","tabellvariabel","tabell_navn","aar","enhet"
"45","em_tilsk",0,"tilskudd","2015","kroner"
"46","em_tilsk",3914275,"tilskudd","2015","kroner"
"47","em_tilsk",2245808,"tilskudd","2015","kroner"
"48","em_tilsk",0,"tilskudd","2015","kroner"
"49","em_tilsk",3586874,"tilskudd","2015","kroner"
"50","em_tilsk",446367,"tilskudd","2015","kroner"
"51","em_tilsk",1402867,"tilskudd","2015","kroner"
"52","em_tilsk",3789050,"tilskudd","2015","kroner"
"53","em_tilsk",5541710,"tilskudd","2015","kroner"
"54","em_tilsk",0,"tilskudd","2015","kroner"
"55","em_tilsk",7412874,"tilskudd","2015","kroner"
"56","em_tilsk",6296466,"tilskudd","2015","kroner"
"57","em_tilsk",0,"tilskudd","2015","kroner"
"58","em_tilsk",0,"tilskudd","2015","kroner"
"59","em_tilsk",0,"tilskudd","2015","kroner"
"60","em_tilsk",510133,"tilskudd","2015","kroner"
"61","em_tilsk",17453668,"tilskudd","2015","kroner"
"62","em_tilsk",191300,"tilskudd","2015","kroner"
"63","em_tilsk",3376892,"tilskudd","2015","kroner"
"64","em_tilsk",4319209,"tilskudd","2015","kroner"
"65","em_tilsk",4463669,"tilskudd","2015","kroner"
"66","em_tilsk",0,"tilskudd","2015","kroner"
"67","em_tilsk",2981091,"tilskudd","2015","kroner"
"68","em_tilsk",0,"tilskudd","2015","kroner"
"69","em_tilsk",4781024,"tilskudd","2015","kroner"
"70","em_tilsk",0,"tilskudd","2015","kroner"
"71","em_tilsk",2502841,"tilskudd","2015","kroner"
"72","em_tilsk",6200325,"tilskudd","2015","kroner"
"73","em_tilsk",7077609,"tilskudd","2015","kroner"
"74","em_tilsk",955517,"tilskudd","2015","kroner"
"75","em_tilsk",8256801,"tilskudd","2015","kroner"
"76","em_tilsk",4109509,"tilskudd","2015","kroner"
"77","em_tilsk",13002844,"tilskudd","2015","kroner"
"78","em_tilsk",781141,"tilskudd","2015","kroner"
"79","em_tilsk",5254359,"tilskudd","2015","kroner"
"80","em_tilsk",0,"tilskudd","2015","kroner"
"81","em_tilsk",11175107,"tilskudd","2015","kroner"
"82","em_tilsk",0,"tilskudd","2015","kroner"
"83","em_tilsk",16015472,"tilskudd","2015","kroner"
"99","em_tilsk",0,"tilskudd","2015","kroner"
"01","funkhem",823720,"tilskudd","2015","kroner"
"02","funkhem",0,"tilskudd","2015","kroner"
"03","funkhem",-726081,"tilskudd","2015","kroner"
"04","funkhem",2796760.49,"tilskudd","2015","kroner"
"05","funkhem",12413612,"tilskudd","2015","kroner"
"06","funkhem",8408456,"tilskudd","2015","kroner"
"07","funkhem",5601204,"tilskudd","2015","kroner"
"08","funkhem",1333170,"tilskudd","2015","kroner"
"09","funkhem",14592693,"tilskudd","2015","kroner"
"10","funkhem",2451282,"tilskudd","2015","kroner"
"11","funkhem",1216082,"tilskudd","2015","kroner"
"12","funkhem",16516764,"tilskudd","2015","kroner"
"13","funkhem",5662697,"tilskudd","2015","kroner"
"14","funkhem",13292623,"tilskudd","2015","kroner"
"15","funkhem",2390734,"tilskudd","2015","kroner"
"16","funkhem",18875203,"tilskudd","2015","kroner"
"17","funkhem",0,"tilskudd","2015","kroner"
"18","funkhem",625000,"tilskudd","2015","kroner"
"19","funkhem",0,"tilskudd","2015","kroner"
"20","funkhem",16439761,"tilskudd","2015","kroner"
"21","funkhem",2532686,"tilskudd","2015","kroner"
"22","funkhem",3020745,"tilskudd","2015","kroner"
"23","funkhem",530999,"tilskudd","2015","kroner"
"24","funkhem",2337600,"tilskudd","2015","kroner"
"25","funkhem",7578029,"tilskudd","2015","kroner"
"26","funkhem",7562101,"tilskudd","2015","kroner"
"27","funkhem",19447674,"tilskudd","2015","kroner"
"28","funkhem",7342977,"tilskudd","2015","kroner"
"29","funkhem",4700537,"tilskudd","2015","kroner"
