"kommune_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"0122","vedtak","personer","3","bosatt_anmodede","2014"
"0123","vedtak","personer","10","bosatt_anmodede","2014"
"0124","vedtak","personer","11","bosatt_anmodede","2014"
"0125","vedtak","personer","11","bosatt_anmodede","2014"
"0127","vedtak","personer","5","bosatt_anmodede","2014"
"0128","vedtak","personer","6","bosatt_anmodede","2014"
"0135","vedtak","personer","5","bosatt_anmodede","2014"
"0136","vedtak","personer","10","bosatt_anmodede","2014"
"0137","vedtak","personer","10","bosatt_anmodede","2014"
"0138","vedtak","personer","0","bosatt_anmodede","2014"
"0211","vedtak","personer","17","bosatt_anmodede","2014"
"0213","vedtak","personer","57","bosatt_anmodede","2014"
"0214","vedtak","personer","20","bosatt_anmodede","2014"
"0215","vedtak","personer","20","bosatt_anmodede","2014"
"0216","vedtak","personer",".","bosatt_anmodede","2014"
"0217","vedtak","personer","40","bosatt_anmodede","2014"
"0219","vedtak","personer","140","bosatt_anmodede","2014"
"0220","vedtak","personer","65","bosatt_anmodede","2014"
"0221","vedtak","personer","13","bosatt_anmodede","2014"
"0226","vedtak","personer","15","bosatt_anmodede","2014"
"0227","vedtak","personer","15","bosatt_anmodede","2014"
"0228","vedtak","personer","20","bosatt_anmodede","2014"
"0229","vedtak","personer","5","bosatt_anmodede","2014"
"0230","vedtak","personer","27","bosatt_anmodede","2014"
"0231","vedtak","personer","75","bosatt_anmodede","2014"
"0233","vedtak","personer","15","bosatt_anmodede","2014"
"0234","vedtak","personer","7","bosatt_anmodede","2014"
"0235","vedtak","personer","20","bosatt_anmodede","2014"
"0236","vedtak","personer","25","bosatt_anmodede","2014"
"0237","vedtak","personer","15","bosatt_anmodede","2014"
"0238","vedtak","personer","15","bosatt_anmodede","2014"
"0239","vedtak","personer","10","bosatt_anmodede","2014"
"0301","vedtak","personer","500","bosatt_anmodede","2014"
"0402","vedtak","personer","25","bosatt_anmodede","2014"
"0403","vedtak","personer","40","bosatt_anmodede","2014"
"0412","vedtak","personer","34","bosatt_anmodede","2014"
"0415","vedtak","personer","9","bosatt_anmodede","2014"
"0417","vedtak","personer","30","bosatt_anmodede","2014"
"0418","vedtak","personer","6","bosatt_anmodede","2014"
"0419","vedtak","personer","10","bosatt_anmodede","2014"
"0420","vedtak","personer","5","bosatt_anmodede","2014"
"0423","vedtak","personer","5","bosatt_anmodede","2014"
"0425","vedtak","personer","1","bosatt_anmodede","2014"
"0426","vedtak","personer","0","bosatt_anmodede","2014"
"0427","vedtak","personer","40","bosatt_anmodede","2014"
"0428","vedtak","personer","10","bosatt_anmodede","2014"
"0429","vedtak","personer","10","bosatt_anmodede","2014"
"0430","vedtak","personer","8","bosatt_anmodede","2014"
"0432","vedtak","personer","11","bosatt_anmodede","2014"
"0434","vedtak","personer","0","bosatt_anmodede","2014"
"0436","vedtak","personer","7","bosatt_anmodede","2014"
"0437","vedtak","personer","20","bosatt_anmodede","2014"
"0438","vedtak","personer","3","bosatt_anmodede","2014"
