"kommune_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"1703","ettaar","alle","alle","2014","personer","22","intro_status_arbutd"
"1711","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"1714","ettaar","alle","alle","2014","personer","31","intro_status_arbutd"
"1717","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1718","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1719","ettaar","alle","alle","2014","personer","37","intro_status_arbutd"
"1721","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"1724","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"1725","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1736","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1738","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1739","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1740","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1742","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"1743","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1744","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"1748","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1749","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1750","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1751","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1755","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1756","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"1804","ettaar","alle","alle","2014","personer","47","intro_status_arbutd"
"1805","ettaar","alle","alle","2014","personer","21","intro_status_arbutd"
"1811","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1812","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"1813","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"1815","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1816","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1818","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1820","ettaar","alle","alle","2014","personer","27","intro_status_arbutd"
