Kommune nr & navn;kommune_nr;"Kommune
navn"
Nedbrytninger;;
;;
2115 Svea;2115;Svea
2121 Bjørnøya;2121;Bjørnøya
2131 Hopen;2131;Hopen
2199 Uoppgitt kommune Svalbard;2199;Uoppgitt kommune Svalbard
2211 Jan Mayen;2211;Jan Mayen
2299 Uoppgitt Jan Mayen;2299;Uoppgitt Jan Mayen
2300 Kontinentalsokkelen;2300;Kontinentalsokkelen
2311 Sokkelen sør for 62° N;2311;Sokkelen sør for 62° N
2321 Sokkelen nord for 62° N;2321;Sokkelen nord for 62° N
2399 Sokkelen, uspesifisert;2399;Sokkelen, uspesifisert
9999 Uoppgitt kommune;9999;Uoppgitt kommune
