aar,bydel_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2009,030117,innvandrere,alle,339,arbledige_innvkat_land,personer
2009,030199,alle,1,27,arbledige_innvkat_land,personer
2009,030199,alle,2,24,arbledige_innvkat_land,personer
2009,030199,alle,alle,51,arbledige_innvkat_land,personer
2009,030199,innvandrere,1,27,arbledige_innvkat_land,personer
2009,030199,innvandrere,2,24,arbledige_innvkat_land,personer
2009,030199,innvandrere,alle,51,arbledige_innvkat_land,personer
2010,00,alle,1,9068,arbledige_innvkat_land,personer
2010,00,alle,2,17623,arbledige_innvkat_land,personer
2010,00,alle,alle,26691,arbledige_innvkat_land,personer
2010,00,innvandrere,1,9068,arbledige_innvkat_land,personer
