aar,naringsregion_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,21,innvandrere,alle,0,36,ikke_arbutd_innvkat_land,personer
2006,21,innvandrere,alle,1,15,ikke_arbutd_innvkat_land,personer
2006,21,innvandrere,alle,alle,51,ikke_arbutd_innvkat_land,personer
2006,22,alle,1,0,21,ikke_arbutd_innvkat_land,personer
2006,22,alle,1,1,6,ikke_arbutd_innvkat_land,personer
2006,22,alle,1,alle,27,ikke_arbutd_innvkat_land,personer
2006,22,alle,2,0,47,ikke_arbutd_innvkat_land,personer
2006,22,alle,2,1,35,ikke_arbutd_innvkat_land,personer
2006,22,alle,2,alle,82,ikke_arbutd_innvkat_land,personer
2006,22,alle,alle,0,68,ikke_arbutd_innvkat_land,personer
2006,22,alle,alle,1,41,ikke_arbutd_innvkat_land,personer
2006,22,alle,alle,alle,109,ikke_arbutd_innvkat_land,personer
2006,22,innvandrere,1,0,21,ikke_arbutd_innvkat_land,personer
2006,22,innvandrere,1,1,6,ikke_arbutd_innvkat_land,personer
