aar,bydel_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,030115,innvandrere,1,1,5,ikke_arbutd_innvkat_land,personer
2006,030115,innvandrere,1,alle,17,ikke_arbutd_innvkat_land,personer
2006,030115,innvandrere,2,0,46,ikke_arbutd_innvkat_land,personer
2006,030115,innvandrere,2,1,45,ikke_arbutd_innvkat_land,personer
2006,030115,innvandrere,2,alle,91,ikke_arbutd_innvkat_land,personer
2006,030115,innvandrere,alle,0,58,ikke_arbutd_innvkat_land,personer
2006,030115,innvandrere,alle,1,50,ikke_arbutd_innvkat_land,personer
2006,030115,innvandrere,alle,alle,108,ikke_arbutd_innvkat_land,personer
2006,030116,alle,1,0,8,ikke_arbutd_innvkat_land,personer
2006,030116,alle,1,1,0,ikke_arbutd_innvkat_land,personer
2006,030116,alle,1,alle,10,ikke_arbutd_innvkat_land,personer
2006,030116,alle,2,0,30,ikke_arbutd_innvkat_land,personer
2006,030116,alle,2,1,36,ikke_arbutd_innvkat_land,personer
2006,030116,alle,2,alle,66,ikke_arbutd_innvkat_land,personer
2006,030116,alle,alle,0,38,ikke_arbutd_innvkat_land,personer
2006,030116,alle,alle,1,38,ikke_arbutd_innvkat_land,personer
2006,030116,alle,alle,alle,76,ikke_arbutd_innvkat_land,personer
2006,030116,innvandrere,1,0,8,ikke_arbutd_innvkat_land,personer
2006,030116,innvandrere,1,1,0,ikke_arbutd_innvkat_land,personer
2006,030116,innvandrere,1,alle,10,ikke_arbutd_innvkat_land,personer
2006,030116,innvandrere,2,0,30,ikke_arbutd_innvkat_land,personer
2006,030116,innvandrere,2,1,36,ikke_arbutd_innvkat_land,personer
2006,030116,innvandrere,2,alle,66,ikke_arbutd_innvkat_land,personer
2006,030116,innvandrere,alle,0,38,ikke_arbutd_innvkat_land,personer
2006,030116,innvandrere,alle,1,38,ikke_arbutd_innvkat_land,personer
2006,030116,innvandrere,alle,alle,76,ikke_arbutd_innvkat_land,personer
2006,030117,alle,1,0,4,ikke_arbutd_innvkat_land,personer
2006,030117,alle,1,1,4,ikke_arbutd_innvkat_land,personer
2006,030117,alle,1,alle,8,ikke_arbutd_innvkat_land,personer
2006,030117,alle,2,0,69,ikke_arbutd_innvkat_land,personer
2006,030117,alle,2,1,79,ikke_arbutd_innvkat_land,personer
2006,030117,alle,2,alle,148,ikke_arbutd_innvkat_land,personer
2006,030117,alle,alle,0,73,ikke_arbutd_innvkat_land,personer
2006,030117,alle,alle,1,83,ikke_arbutd_innvkat_land,personer
2006,030117,alle,alle,alle,156,ikke_arbutd_innvkat_land,personer
2006,030117,innvandrere,1,0,4,ikke_arbutd_innvkat_land,personer
2006,030117,innvandrere,1,1,4,ikke_arbutd_innvkat_land,personer
2006,030117,innvandrere,1,alle,8,ikke_arbutd_innvkat_land,personer
2006,030117,innvandrere,2,0,69,ikke_arbutd_innvkat_land,personer
2006,030117,innvandrere,2,1,79,ikke_arbutd_innvkat_land,personer
2006,030117,innvandrere,2,alle,148,ikke_arbutd_innvkat_land,personer
2006,030117,innvandrere,alle,0,73,ikke_arbutd_innvkat_land,personer
2006,030117,innvandrere,alle,1,83,ikke_arbutd_innvkat_land,personer
2006,030117,innvandrere,alle,alle,156,ikke_arbutd_innvkat_land,personer
2006,030199,alle,1,0,6,ikke_arbutd_innvkat_land,personer
2006,030199,alle,1,1,0,ikke_arbutd_innvkat_land,personer
2006,030199,alle,1,alle,6,ikke_arbutd_innvkat_land,personer
2006,030199,alle,2,0,10,ikke_arbutd_innvkat_land,personer
2006,030199,alle,2,1,8,ikke_arbutd_innvkat_land,personer
2006,030199,alle,2,alle,18,ikke_arbutd_innvkat_land,personer
2006,030199,alle,alle,0,16,ikke_arbutd_innvkat_land,personer
2006,030199,alle,alle,1,8,ikke_arbutd_innvkat_land,personer
2006,030199,alle,alle,alle,24,ikke_arbutd_innvkat_land,personer
2006,030199,innvandrere,1,0,6,ikke_arbutd_innvkat_land,personer
2006,030199,innvandrere,1,1,0,ikke_arbutd_innvkat_land,personer
2006,030199,innvandrere,1,alle,6,ikke_arbutd_innvkat_land,personer
2006,030199,innvandrere,2,0,10,ikke_arbutd_innvkat_land,personer
2006,030199,innvandrere,2,1,8,ikke_arbutd_innvkat_land,personer
2006,030199,innvandrere,2,alle,18,ikke_arbutd_innvkat_land,personer
2006,030199,innvandrere,alle,0,16,ikke_arbutd_innvkat_land,personer
2006,030199,innvandrere,alle,1,8,ikke_arbutd_innvkat_land,personer
2006,030199,innvandrere,alle,alle,24,ikke_arbutd_innvkat_land,personer
2007,00,alle,1,0,3251,ikke_arbutd_innvkat_land,personer
2007,00,alle,1,1,1793,ikke_arbutd_innvkat_land,personer
2007,00,alle,1,alle,5044,ikke_arbutd_innvkat_land,personer
2007,00,alle,2,0,7704,ikke_arbutd_innvkat_land,personer
2007,00,alle,2,1,7183,ikke_arbutd_innvkat_land,personer
2007,00,alle,2,alle,14887,ikke_arbutd_innvkat_land,personer
2007,00,alle,alle,0,10955,ikke_arbutd_innvkat_land,personer
2007,00,alle,alle,1,8976,ikke_arbutd_innvkat_land,personer
2007,00,alle,alle,alle,19931,ikke_arbutd_innvkat_land,personer
2007,00,innvandrere,1,0,3251,ikke_arbutd_innvkat_land,personer
2007,00,innvandrere,1,1,1793,ikke_arbutd_innvkat_land,personer
2007,00,innvandrere,1,alle,5044,ikke_arbutd_innvkat_land,personer
2007,00,innvandrere,2,0,7704,ikke_arbutd_innvkat_land,personer
2007,00,innvandrere,2,1,7183,ikke_arbutd_innvkat_land,personer
2007,00,innvandrere,2,alle,14887,ikke_arbutd_innvkat_land,personer
2007,00,innvandrere,alle,0,10955,ikke_arbutd_innvkat_land,personer
2007,00,innvandrere,alle,1,8976,ikke_arbutd_innvkat_land,personer
2007,00,innvandrere,alle,alle,19931,ikke_arbutd_innvkat_land,personer
2007,030101,alle,1,0,107,ikke_arbutd_innvkat_land,personer
2007,030101,alle,1,1,47,ikke_arbutd_innvkat_land,personer
2007,030101,alle,1,alle,154,ikke_arbutd_innvkat_land,personer
2007,030101,alle,2,0,156,ikke_arbutd_innvkat_land,personer
2007,030101,alle,2,1,153,ikke_arbutd_innvkat_land,personer
2007,030101,alle,2,alle,309,ikke_arbutd_innvkat_land,personer
2007,030101,alle,alle,0,263,ikke_arbutd_innvkat_land,personer
2007,030101,alle,alle,1,200,ikke_arbutd_innvkat_land,personer
2007,030101,alle,alle,alle,463,ikke_arbutd_innvkat_land,personer
2007,030101,innvandrere,1,0,107,ikke_arbutd_innvkat_land,personer
2007,030101,innvandrere,1,1,47,ikke_arbutd_innvkat_land,personer
2007,030101,innvandrere,1,alle,154,ikke_arbutd_innvkat_land,personer
2007,030101,innvandrere,2,0,156,ikke_arbutd_innvkat_land,personer
2007,030101,innvandrere,2,1,153,ikke_arbutd_innvkat_land,personer
2007,030101,innvandrere,2,alle,309,ikke_arbutd_innvkat_land,personer
2007,030101,innvandrere,alle,0,263,ikke_arbutd_innvkat_land,personer
2007,030101,innvandrere,alle,1,200,ikke_arbutd_innvkat_land,personer
2007,030101,innvandrere,alle,alle,463,ikke_arbutd_innvkat_land,personer
2007,030102,alle,1,0,99,ikke_arbutd_innvkat_land,personer
