aar,naringsregion_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,75,innvandrere,2,42,arbledige_innvkat_land,personer
2006,75,innvandrere,alle,54,arbledige_innvkat_land,personer
2006,76,alle,1,12,arbledige_innvkat_land,personer
2006,76,alle,2,53,arbledige_innvkat_land,personer
2006,76,alle,alle,65,arbledige_innvkat_land,personer
2006,76,innvandrere,1,12,arbledige_innvkat_land,personer
2006,76,innvandrere,2,53,arbledige_innvkat_land,personer
2006,76,innvandrere,alle,65,arbledige_innvkat_land,personer
2006,77,alle,1,10,arbledige_innvkat_land,personer
2006,77,alle,2,47,arbledige_innvkat_land,personer
2006,77,alle,alle,57,arbledige_innvkat_land,personer
2006,77,innvandrere,1,10,arbledige_innvkat_land,personer
2006,77,innvandrere,2,47,arbledige_innvkat_land,personer
2006,77,innvandrere,alle,57,arbledige_innvkat_land,personer
2006,78,alle,1,7,arbledige_innvkat_land,personer
2006,78,alle,2,26,arbledige_innvkat_land,personer
2006,78,alle,alle,33,arbledige_innvkat_land,personer
2006,78,innvandrere,1,7,arbledige_innvkat_land,personer
2006,78,innvandrere,2,26,arbledige_innvkat_land,personer
2006,78,innvandrere,alle,33,arbledige_innvkat_land,personer
2006,79,alle,1,27,arbledige_innvkat_land,personer
2006,79,alle,2,102,arbledige_innvkat_land,personer
2006,79,alle,alle,129,arbledige_innvkat_land,personer
2006,79,innvandrere,1,27,arbledige_innvkat_land,personer
2006,79,innvandrere,2,102,arbledige_innvkat_land,personer
2006,79,innvandrere,alle,129,arbledige_innvkat_land,personer
2006,80,alle,1,3,arbledige_innvkat_land,personer
2006,80,alle,2,24,arbledige_innvkat_land,personer
