aar,fylke_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2009,16,alle,1,382,arbledige_innvkat_land,personer
2009,16,alle,2,737,arbledige_innvkat_land,personer
2009,16,alle,alle,1119,arbledige_innvkat_land,personer
2009,16,innvandrere,1,382,arbledige_innvkat_land,personer
2009,16,innvandrere,2,737,arbledige_innvkat_land,personer
2009,16,innvandrere,alle,1119,arbledige_innvkat_land,personer
2009,17,alle,1,123,arbledige_innvkat_land,personer
2009,17,alle,2,178,arbledige_innvkat_land,personer
2009,17,alle,alle,301,arbledige_innvkat_land,personer
2009,17,innvandrere,1,123,arbledige_innvkat_land,personer
2009,17,innvandrere,2,178,arbledige_innvkat_land,personer
2009,17,innvandrere,alle,301,arbledige_innvkat_land,personer
2009,18,alle,1,150,arbledige_innvkat_land,personer
2009,18,alle,2,353,arbledige_innvkat_land,personer
2009,18,alle,alle,503,arbledige_innvkat_land,personer
2009,18,innvandrere,1,150,arbledige_innvkat_land,personer
2009,18,innvandrere,2,353,arbledige_innvkat_land,personer
2009,18,innvandrere,alle,503,arbledige_innvkat_land,personer
2009,19,alle,1,139,arbledige_innvkat_land,personer
2009,19,alle,2,216,arbledige_innvkat_land,personer
2009,19,alle,alle,355,arbledige_innvkat_land,personer
2009,19,innvandrere,1,139,arbledige_innvkat_land,personer
2009,19,innvandrere,2,216,arbledige_innvkat_land,personer
