kommune_nr,aar,enhet,tabell_navn,tilskudd_til_kommuner,tabellvariabel
1920,2015,kroner,tilskudd,barnehage_tilsk,97600
1922,2015,kroner,tilskudd,barnehage_tilsk,48800
1923,2015,kroner,tilskudd,barnehage_tilsk,73200
1924,2015,kroner,tilskudd,barnehage_tilsk,0
1925,2015,kroner,tilskudd,barnehage_tilsk,122000
1926,2015,kroner,tilskudd,barnehage_tilsk,24400
1927,2015,kroner,tilskudd,barnehage_tilsk,0
1928,2015,kroner,tilskudd,barnehage_tilsk,194200
1929,2015,kroner,tilskudd,barnehage_tilsk,73200
1931,2015,kroner,tilskudd,barnehage_tilsk,145400
1933,2015,kroner,tilskudd,barnehage_tilsk,170800
1936,2015,kroner,tilskudd,barnehage_tilsk,0
1938,2015,kroner,tilskudd,barnehage_tilsk,0
1939,2015,kroner,tilskudd,barnehage_tilsk,0
1940,2015,kroner,tilskudd,barnehage_tilsk,0
1941,2015,kroner,tilskudd,barnehage_tilsk,120000
1942,2015,kroner,tilskudd,barnehage_tilsk,97600
1943,2015,kroner,tilskudd,barnehage_tilsk,0
2002,2015,kroner,tilskudd,barnehage_tilsk,0
2003,2015,kroner,tilskudd,barnehage_tilsk,267400
2004,2015,kroner,tilskudd,barnehage_tilsk,117000
2011,2015,kroner,tilskudd,barnehage_tilsk,0
2012,2015,kroner,tilskudd,barnehage_tilsk,171800
2014,2015,kroner,tilskudd,barnehage_tilsk,0
2015,2015,kroner,tilskudd,barnehage_tilsk,0
2017,2015,kroner,tilskudd,barnehage_tilsk,0
2018,2015,kroner,tilskudd,barnehage_tilsk,0
2019,2015,kroner,tilskudd,barnehage_tilsk,47800
2020,2015,kroner,tilskudd,barnehage_tilsk,48800
2021,2015,kroner,tilskudd,barnehage_tilsk,0
2022,2015,kroner,tilskudd,barnehage_tilsk,0
2023,2015,kroner,tilskudd,barnehage_tilsk,0
2024,2015,kroner,tilskudd,barnehage_tilsk,0
2025,2015,kroner,tilskudd,barnehage_tilsk,48800
2027,2015,kroner,tilskudd,barnehage_tilsk,141400
2028,2015,kroner,tilskudd,barnehage_tilsk,0
2030,2015,kroner,tilskudd,barnehage_tilsk,73200
9999,2015,kroner,tilskudd,barnehage_tilsk,0
0101,2015,kroner,tilskudd,ekstra_bosetting_tilsk,100000
0104,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0105,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0106,2015,kroner,tilskudd,ekstra_bosetting_tilsk,150000
0111,2015,kroner,tilskudd,ekstra_bosetting_tilsk,50000
0118,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0119,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0121,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0122,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0123,2015,kroner,tilskudd,ekstra_bosetting_tilsk,100000
0124,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0125,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0127,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0128,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0135,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0136,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0137,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0138,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0211,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0213,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0214,2015,kroner,tilskudd,ekstra_bosetting_tilsk,25000
0215,2015,kroner,tilskudd,ekstra_bosetting_tilsk,225000
0216,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0217,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0219,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0220,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0221,2015,kroner,tilskudd,ekstra_bosetting_tilsk,175000
0226,2015,kroner,tilskudd,ekstra_bosetting_tilsk,125000
0227,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0228,2015,kroner,tilskudd,ekstra_bosetting_tilsk,125000
0229,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0230,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0231,2015,kroner,tilskudd,ekstra_bosetting_tilsk,575000
0233,2015,kroner,tilskudd,ekstra_bosetting_tilsk,300000
0234,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0235,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0236,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0237,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0238,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0239,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0301,2015,kroner,tilskudd,ekstra_bosetting_tilsk,100000
0402,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
0403,2015,kroner,tilskudd,ekstra_bosetting_tilsk,0
