"naringsregion_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"69","vedtak","prosent","66.6666666666667","bosatt_anmodede","2014"
"70","vedtak","prosent","0","bosatt_anmodede","2014"
"71","vedtak","prosent","75","bosatt_anmodede","2014"
"72","vedtak","prosent","87.5","bosatt_anmodede","2014"
"73","vedtak","prosent","91.1627906976744","bosatt_anmodede","2014"
"74","vedtak","prosent","65","bosatt_anmodede","2014"
"75","vedtak","prosent","70.7692307692308","bosatt_anmodede","2014"
"76","vedtak","prosent","70.3703703703704","bosatt_anmodede","2014"
"77","vedtak","prosent","78.6666666666667","bosatt_anmodede","2014"
"78","vedtak","prosent","81.3793103448276","bosatt_anmodede","2014"
"79","vedtak","prosent","93.3333333333333","bosatt_anmodede","2014"
"80","vedtak","prosent","40","bosatt_anmodede","2014"
"81","vedtak","prosent","60.7407407407407","bosatt_anmodede","2014"
"82","vedtak","prosent","33.3333333333333","bosatt_anmodede","2014"
"83","vedtak","prosent","65","bosatt_anmodede","2014"
"99","vedtak","prosent",".","bosatt_anmodede","2014"
"01","bosatt","prosent","62.8571428571429","bosatt_anmodede","2014"
"02","bosatt","prosent","25.9259259259259","bosatt_anmodede","2014"
"03","bosatt","prosent","46.6666666666667","bosatt_anmodede","2014"
"04","bosatt","prosent","74.2857142857143","bosatt_anmodede","2014"
"05","bosatt","prosent","69.7872340425532","bosatt_anmodede","2014"
"06","bosatt","prosent","92.3469387755102","bosatt_anmodede","2014"
"07","bosatt","prosent","70.5069124423963","bosatt_anmodede","2014"
"08","bosatt","prosent","77.3109243697479","bosatt_anmodede","2014"
"09","bosatt","prosent","99","bosatt_anmodede","2014"
"10","bosatt","prosent","68","bosatt_anmodede","2014"
"11","bosatt","prosent","52.3809523809524","bosatt_anmodede","2014"
"12","bosatt","prosent","70.2857142857143","bosatt_anmodede","2014"
"13","bosatt","prosent","63.1578947368421","bosatt_anmodede","2014"
"14","bosatt","prosent","79.2857142857143","bosatt_anmodede","2014"
"15","bosatt","prosent","83","bosatt_anmodede","2014"
"16","bosatt","prosent","74.1176470588235","bosatt_anmodede","2014"
"17","bosatt","prosent","75","bosatt_anmodede","2014"
"18","bosatt","prosent","88.0597014925373","bosatt_anmodede","2014"
"19","bosatt","prosent","47.6923076923077","bosatt_anmodede","2014"
"20","bosatt","prosent","75.6521739130435","bosatt_anmodede","2014"
"21","bosatt","prosent","65.8823529411765","bosatt_anmodede","2014"
"22","bosatt","prosent","66.25","bosatt_anmodede","2014"
"23","bosatt","prosent","43.6363636363636","bosatt_anmodede","2014"
"24","bosatt","prosent","52.3076923076923","bosatt_anmodede","2014"
"25","bosatt","prosent","72.6086956521739","bosatt_anmodede","2014"
"26","bosatt","prosent","86.0869565217391","bosatt_anmodede","2014"
"27","bosatt","prosent","73.8461538461539","bosatt_anmodede","2014"
"28","bosatt","prosent","72.3076923076923","bosatt_anmodede","2014"
"29","bosatt","prosent","96.25","bosatt_anmodede","2014"
"30","bosatt","prosent","34.2857142857143","bosatt_anmodede","2014"
"31","bosatt","prosent","66.6666666666667","bosatt_anmodede","2014"
"32","bosatt","prosent","75.4716981132076","bosatt_anmodede","2014"
"33","bosatt","prosent","60.625","bosatt_anmodede","2014"
"34","bosatt","prosent","73","bosatt_anmodede","2014"
"35","bosatt","prosent","87.3684210526316","bosatt_anmodede","2014"
"36","bosatt","prosent","63.75","bosatt_anmodede","2014"
"37","bosatt","prosent","57.8703703703704","bosatt_anmodede","2014"
"38","bosatt","prosent","47.9591836734694","bosatt_anmodede","2014"
"39","bosatt","prosent","79.6728971962617","bosatt_anmodede","2014"
"40","bosatt","prosent","92.2857142857143","bosatt_anmodede","2014"
"41","bosatt","prosent","34","bosatt_anmodede","2014"
"42","bosatt","prosent","48","bosatt_anmodede","2014"
"43","bosatt","prosent","113.333333333333","bosatt_anmodede","2014"
"44","bosatt","prosent","57.2815533980583","bosatt_anmodede","2014"
"45","bosatt","prosent","31.5789473684211","bosatt_anmodede","2014"
"46","bosatt","prosent","57.3333333333333","bosatt_anmodede","2014"
"47","bosatt","prosent","63.4782608695652","bosatt_anmodede","2014"
"48","bosatt","prosent","35.4166666666667","bosatt_anmodede","2014"
"49","bosatt","prosent","61.864406779661","bosatt_anmodede","2014"
"50","bosatt","prosent","54.0740740740741","bosatt_anmodede","2014"
"51","bosatt","prosent","62.8571428571429","bosatt_anmodede","2014"
