tabell_navn;aar;kommune_id;vreg_2;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;0540;2;0;person;32;
befolkning_verdensregion;2015;0541;1;alle;person;58;
befolkning_verdensregion;2015;0541;2;alle;person;116;
befolkning_verdensregion;2015;0541;1;1;person;39;
befolkning_verdensregion;2015;0541;2;1;person;83;
befolkning_verdensregion;2015;0541;1;0;person;19;
befolkning_verdensregion;2015;0541;2;0;person;33;
befolkning_verdensregion;2015;0542;1;alle;person;367;
befolkning_verdensregion;2015;0542;2;alle;person;188;
befolkning_verdensregion;2015;0542;1;1;person;206;
befolkning_verdensregion;2015;0542;2;1;person;85;
befolkning_verdensregion;2015;0542;1;0;person;161;
befolkning_verdensregion;2015;0542;2;0;person;103;
befolkning_verdensregion;2015;0543;1;alle;person;96;
befolkning_verdensregion;2015;0543;2;alle;person;67;
befolkning_verdensregion;2015;0543;1;1;person;47;
