"kommune_nr","aar","enhet","tabell_navn","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
912,2015,"kroner","tilskudd",73200,100000,0,0,0,3348000,5658000,2310000,1345850,0,7177050,7177050,0
914,2015,"kroner","tilskudd",0,0,0,0,0,1624000,5703000,4079000,1829416.66,0,7532416.66,7532416.66,0
919,2015,"kroner","tilskudd",0,0,152200,0,1563000,225000,2177750,1952750,976212.5,0,4869162.5,4869162.5,0
926,2015,"kroner","tilskudd",72200,0,0,1291275,825700,5772000,16845800,11073800,6260820.83,0,25295795.83,25295795.83,0
928,2015,"kroner","tilskudd",23400,0,0,382600,227464,1364000,5419400,4055400,4110379.16,0,10163243.16,10163243.16,0
929,2015,"kroner","tilskudd",48800,0,0,0,0,2572400,5307800,2735400,1384850,0,6741450,6741450,0
935,2015,"kroner","tilskudd",48800,0,0,0,0,1638000,4465400,2827400,1079375,0,5593575,5593575,0
937,2015,"kroner","tilskudd",118000,0,0,223183,0,3294000,8218000,4924000,1590250,0,10149433,10149433,0
938,2015,"kroner","tilskudd",48800,0,0,0,0,1638000,1848000,210000,2666066.66,0,4562866.66,4562866.66,0
940,2015,"kroner","tilskudd",48800,0,0,0,0,1920000,6334400,4414400,1260275,0,7643475,7643475,0
941,2015,"kroner","tilskudd",24400,0,0,0,0,728000,3741000,3013000,857100,0,4622500,4622500,0
1001,2015,"kroner","tilskudd",432600,1150000,768700,7652002,15691444,50146500,164249900,114103400,30545366.66,20700,220510712.7,220510712.66,0.0399999916553497
1002,2015,"kroner","tilskudd",145400,850000,0,2853558,6757520,13087000,35124600,22037600,11362087.5,0,57093165.5,57093165.5,0
1003,2015,"kroner","tilskudd",24400,100000,0,191300,2940941,9387000,19987600,10600600,9011990,0,32256231,32256231,0
1004,2015,"kroner","tilskudd",23400,100000,0,191300,562000,4732000,14271600,9539600,5115050,0,20263350,20263350,0
1014,2015,"kroner","tilskudd",145400,0,315000,635700,5125381,10755000,24867400,14112400,4192825,0,35281706,35281706,0
